idx,q10,q50,q90,last,y_abs,delta_true,enter_long,enter_short,roll_q_high,roll_q_low,side,profit
65,-6.743774,0.31964153,7.084532,29.0,30.163164,1.1631641,0,0,,,0,0.0
66,-7.9106984,0.17082828,7.6744733,29.0,31.028536,2.0285358,0,0,,,0,0.0
67,-7.558171,0.12804407,6.651991,29.0,31.22401,2.2240105,0,0,,,0,0.0
68,-7.4210052,-0.07234484,6.1154037,29.0,30.674252,1.6742516,0,0,,,0,0.0
69,-6.729013,0.22535041,6.5240726,30.0,30.159819,0.15981865,0,0,,,0,0.0
70,-6.7283435,0.3427796,6.9693394,30.0,30.58097,0.58097076,0,0,,,0,0.0
71,-6.746288,0.37406772,7.1984997,30.0,31.433416,1.4334164,0,0,,,0,0.0
72,-7.2006416,0.39732638,7.70591,30.0,32.402134,2.402134,0,0,,,0,0.0
73,-7.377613,0.3883985,7.7063484,30.0,31.504961,1.504961,0,0,,,0,0.0
74,-6.6644306,-0.2067652,5.5697556,30.0,31.757788,1.7577877,0,0,,,0,0.0
75,-7.5321507,-0.3250205,5.9493217,30.0,31.233206,1.2332058,0,0,,,0,0.0
76,-6.6866918,-0.11992,5.972313,30.0,31.751251,1.7512512,0,0,,,0,0.0
77,-6.1314244,0.13865754,5.9872937,30.0,31.777954,1.7779541,0,0,,,0,0.0
78,-6.4115896,0.30207005,6.7324505,30.0,31.166956,1.166956,0,0,,,0,0.0
79,-6.042801,0.25966296,6.244028,30.0,31.661568,1.6615677,0,0,,,0,0.0
80,-6.526539,0.25907925,6.4363346,29.0,31.53155,2.5315495,0,0,,,0,0.0
81,-6.7612453,0.24168926,6.55005,29.0,31.029615,2.0296154,0,0,,,0,0.0
82,-6.1215925,-0.24338585,4.8556695,29.0,31.211912,2.2119122,0,0,,,0,0.0
83,-6.9643335,-0.35585722,5.4093904,29.0,31.154112,2.1541119,0,0,,,0,0.0
84,-6.234524,-0.1704812,5.3888416,29.0,30.695667,1.6956673,0,0,,,0,0.0
85,-5.821406,0.03433203,5.337124,29.0,30.63032,1.6303196,0,0,,,0,0.0
86,-5.94132,0.18518767,5.8999553,29.0,30.149454,1.1494541,0,0,,,0,0.0
87,-5.7137194,0.20388642,5.778373,29.0,30.44577,1.4457703,0,0,,,0,0.0
88,-6.3491874,0.27946585,6.3504343,29.0,30.811716,1.8117161,0,0,,,0,0.0
89,-6.7392254,0.3376669,6.8371677,28.0,30.848671,2.848671,0,0,,,0,0.0
90,-5.90632,-0.16408938,4.8829007,27.0,30.524075,3.5240746,0,0,,,0,0.0
91,-6.0075965,-0.25739908,4.755185,27.0,30.196661,3.196661,0,0,,,0,0.0
92,-6.103254,-0.014582025,5.7053437,28.0,29.83376,1.8337593,0,0,,,0,0.0
93,-5.8704567,0.07403795,5.791375,28.0,30.085234,2.0852337,0,0,,,0,0.0
94,-6.212035,0.22959882,6.4596334,28.0,29.674896,1.6748962,0,0,,,0,0.0
95,-6.0131245,0.24899504,6.284029,29.0,29.76244,0.7624397,0,0,,,0,0.0
96,-7.334395,0.21598527,6.4997797,29.0,30.141819,1.141819,0,0,,,0,0.0
97,-8.747774,0.07633481,7.499073,28.0,30.445995,2.4459953,0,0,,,0,0.0
98,-8.602612,-0.048971385,7.314769,29.0,30.368628,1.3686275,0,0,,,0,0.0
99,-7.749576,-0.035877064,6.646563,28.0,30.77982,2.7798195,0,0,,,0,0.0
100,-7.2784343,-0.021615125,6.1377606,28.0,30.806684,2.8066845,0,0,,,0,0.0
101,-6.860659,-0.014848593,5.885749,28.0,31.045471,3.0454712,0,0,,,0,0.0
102,-6.2521796,0.029107928,5.5381584,30.0,30.925959,0.92595863,0,0,,,0,0.0
103,-5.9641943,-0.023831585,5.144021,30.0,31.415472,1.415472,0,0,,,0,0.0
104,-7.159893,0.3571311,7.0334063,30.0,31.841946,1.8419456,0,0,,,0,0.0
105,-7.2987957,0.24031451,7.1368666,31.0,31.34515,0.34515,0,0,,,0,0.0
106,-7.2681446,0.20509803,7.2084837,32.0,31.38622,-0.61377907,0,0,,,0,-0.0
107,-6.6805625,0.07435609,6.3015985,31.0,30.948881,-0.05111885,0,0,,,0,-0.0
108,-6.4797864,-0.023316508,5.6634774,34.0,30.969059,-3.030941,0,0,,,0,-0.0
109,-6.5483336,-0.008264061,5.745755,34.0,31.444485,-2.5555153,0,0,,,0,-0.0
110,-6.304909,0.050917573,5.639498,34.0,31.732105,-2.2678947,0,0,,,0,-0.0
111,-6.084731,0.0010673478,5.295548,33.0,33.863045,0.86304474,0,0,,,0,0.0
112,-7.3213162,0.4027805,7.5436654,33.0,33.336876,0.33687592,0,0,,,0,0.0
113,-7.365952,0.2673408,7.477807,33.0,33.968708,0.96870804,0,0,,,0,0.0
114,-7.327575,0.20393968,7.4024096,33.0,34.74166,1.7416611,0,0,,,0,0.0
115,-6.6039786,0.07059239,6.284831,33.0,35.176495,2.1764946,0,0,,,0,0.0
116,-6.470878,-0.011447955,5.711815,33.0,35.272007,2.272007,0,0,,,0,0.0
117,-6.494455,-0.011033917,5.6971126,33.0,34.748707,1.7487068,0,0,,,0,0.0
118,-6.2316003,0.031655308,5.5232778,32.0,33.350605,1.350605,0,0,,,0,0.0
119,-5.976547,-0.019428002,5.155074,31.0,33.374603,2.3746033,0,0,,,0,0.0
120,-7.038141,0.37587735,7.2360296,32.0,33.91307,1.9130707,0,0,,,0,0.0
121,-6.812326,0.18674195,6.800699,32.0,33.303326,1.3033257,0,0,,,0,0.0
122,-6.678742,0.1381425,6.6121616,33.0,33.508087,0.50808716,0,0,,,0,0.0
123,-6.143924,0.060608156,5.852716,33.0,34.9346,1.9346008,0,0,,,0,0.0
124,-6.1264052,-0.0044893157,5.485097,33.0,34.069237,1.0692368,0,0,,,0,0.0
125,-6.0666995,-0.059613526,5.224832,33.0,34.587406,1.5874062,0,0,,,0,0.0
126,-6.112477,0.01237664,5.3689284,33.0,34.030434,1.0304337,0,0,,,0,0.0
127,-6.0619626,-0.018896166,5.1929493,33.0,33.88155,0.88154984,0,0,,,0,0.0
128,-7.107601,0.38202313,7.313657,33.0,33.663177,0.6631775,0,0,,,0,0.0
129,-6.9365926,0.2093623,6.9789553,33.0,33.370903,0.37090302,0,0,,,0,0.0
130,-6.810455,0.17214745,6.837279,33.0,34.030193,1.0301933,0,0,,,0,0.0
131,-6.224377,0.0748406,5.9640326,32.0,34.282116,2.282116,0,0,,,0,0.0
132,-6.1543965,0.0038212687,5.525949,32.0,37.444973,5.444973,0,0,,,0,0.0
133,-6.0568023,-0.06596052,5.1960893,32.0,38.424004,6.4240036,0,0,,,0,0.0
134,-6.0933976,-0.015223376,5.270438,32.0,37.487717,5.4877167,0,0,,,0,0.0
135,-5.9767203,-0.060619224,5.032918,32.0,37.64496,5.6449585,0,0,,,0,0.0
136,-6.824783,0.2801499,6.7381334,31.0,37.6403,6.6403008,0,0,,,0,0.0
137,-6.4779773,0.08838179,6.1866307,31.0,36.859825,5.859825,0,0,,,0,0.0
138,-6.334718,0.06540955,6.1031346,32.0,36.48541,4.485409,0,0,,,0,0.0
139,-6.1530094,0.069384076,5.863167,32.0,35.85847,3.858471,0,0,,,0,0.0
140,-5.777863,-0.04197625,5.1384916,32.0,36.13451,4.13451,0,0,,,0,0.0
141,-5.8402753,-0.08946228,4.9902115,31.0,35.705406,4.705406,0,0,,,0,0.0
142,-5.881814,-0.030880084,5.072865,31.0,36.369835,5.369835,0,0,,,0,0.0
143,-5.8637342,-0.059288405,4.9389215,31.0,35.749702,4.7497025,0,0,,,0,0.0
144,-6.747902,0.29555765,6.7285805,31.0,35.516647,4.5166473,0,0,,,0,0.0
145,-6.3936257,0.09026724,6.1007957,31.0,36.19206,5.1920586,0,0,,,0,0.0
146,-6.211025,0.047337152,5.895031,31.0,36.051292,5.0512924,0,0,,,0,0.0
147,-6.337439,0.23670581,6.764225,30.0,36.32656,6.326561,0,0,,,0,0.0
148,-8.619795,0.39276436,8.989532,28.0,35.317345,7.3173447,0,0,,,0,0.0
149,-6.4137816,0.012705289,6.0969467,28.0,36.061848,8.061848,0,0,,,0,0.0
150,-6.173886,-0.054844853,5.259915,29.0,36.926155,7.926155,0,0,,,0,0.0
151,-6.0590444,-0.099894755,4.811096,29.0,37.601078,8.601078,0,0,,,0,0.0
152,-6.8108377,0.046433665,5.923259,29.0,37.126923,8.126923,0,0,,,0,0.0
153,-7.146738,0.04935684,6.25484,29.0,37.046154,8.046154,0,0,,,0,0.0
154,-6.198563,-0.096061245,5.2509484,30.0,36.61523,6.6152306,0,0,,,0,0.0
155,-6.045503,-0.11758231,4.891741,30.0,36.768,6.7680016,0,0,,,0,0.0
156,-6.775063,0.050098144,6.355104,29.0,38.146,9.146,0,0,,,0,0.0
157,-5.836914,0.009100463,5.680091,29.0,37.456154,8.456154,0,0,,,0,0.0
158,-5.7384,-0.04117719,4.992274,29.0,38.790768,9.790768,0,0,,,0,0.0
159,-5.552218,-0.055320732,4.640383,29.0,38.70769,9.707691,0,0,,,0,0.0
160,-6.332698,0.15180445,5.898133,30.0,38.092,8.091999,0,0,,,0,0.0
161,-6.6330285,0.18485409,6.375898,32.0,37.663383,5.6633835,0,0,,,0,0.0
162,-6.125278,0.08591665,5.8511243,32.0,38.303078,6.3030777,0,0,,,0,0.0
163,-5.8899198,0.15601924,5.7805653,33.0,37.597538,4.597538,0,0,,,0,0.0
164,-6.961165,0.33091667,7.5655365,33.0,38.268,5.2680016,0,0,,,0,0.0
165,-6.1748037,0.22179386,6.786136,34.0,37.907692,3.907692,0,0,,,0,0.0
166,-5.784513,0.03822141,5.400166,35.0,37.09477,2.0947685,0,0,,,0,0.0
167,-5.5937247,-0.027008837,4.858324,34.0,35.841232,1.8412323,0,0,,,0,0.0
168,-6.4230466,0.19509003,6.234211,32.0,35.221386,3.221386,0,0,,,0,0.0
169,-6.628237,0.20007145,6.53119,32.0,34.923077,2.9230766,0,0,,,0,0.0
170,-6.16554,0.117911525,6.0090446,32.0,34.186615,2.186615,0,0,,,0,0.0
171,-6.0521398,0.21123737,6.098848,32.0,34.371384,2.3713837,0,0,,,0,0.0
172,-6.954798,0.3373368,7.5802107,32.0,35.74123,3.74123,0,0,,,0,0.0
173,-6.050553,0.2218543,6.657547,33.0,34.61169,1.6116905,0,0,,,0,0.0
174,-5.71815,0.03105916,5.2578373,33.0,34.873077,1.8730774,0,0,,,0,0.0
175,-5.59757,-0.020529255,4.8170795,33.0,34.734924,1.7349243,0,0,,,0,0.0
176,-6.462806,0.19840461,6.22803,33.0,34.898308,1.8983078,0,0,,,0,0.0
177,-6.6088924,0.19219983,6.452837,33.0,35.692307,2.6923065,0,0,,,0,0.0
178,-6.096457,0.104466744,5.879719,32.0,35.87631,3.8763084,0,0,,,0,0.0
179,-6.0384603,0.20504543,6.010895,32.0,35.925694,3.9256935,0,0,,,0,0.0
180,-6.8348675,0.32880673,7.3481092,33.0,35.52446,2.5244598,0,0,,,0,0.0
181,-5.9375944,0.20706818,6.3631725,33.0,35.280155,2.2801552,0,0,,,0,0.0
182,-5.720369,0.025914501,5.20745,36.0,34.78077,-1.2192307,0,0,,,0,-0.0
183,-5.57095,-0.032005366,4.7442865,38.0,34.002617,-3.997383,0,0,,,0,-0.0
184,-6.360046,0.17295346,6.06199,37.0,30.098154,-6.901846,0,0,,,0,-0.0
185,-6.5212054,0.16365889,6.276656,38.0,32.365383,-5.634617,0,0,,,0,-0.0
186,-5.9916596,0.06220101,5.657122,38.0,31.898615,-6.101385,0,0,,,0,-0.0
187,-5.8894944,0.15622717,5.733222,37.0,30.903538,-6.0964622,0,0,,,0,-0.0
188,-6.555468,0.26618466,6.917966,36.0,31.351847,-4.6481533,0,0,,,0,-0.0
189,-5.8801656,0.19112313,6.291701,35.0,30.26,-4.74,0,0,,,0,-0.0
190,-5.713495,0.017714772,5.1784906,35.0,29.999846,-5.0001545,0,0,,,0,-0.0
191,-5.5471716,-0.045479238,4.6804676,35.0,30.769077,-4.2309227,0,0,,,0,-0.0
192,-6.355776,0.16541341,6.0079894,36.0,30.646,-5.354,0,0,,,0,-0.0
193,-6.5881033,0.1762062,6.335776,35.0,29.999846,-5.0001545,0,0,,,0,-0.0
194,-5.846205,0.024344638,5.3921647,35.0,29.872,-5.1280003,0,0,,,0,-0.0
195,-5.8881073,0.13367096,5.622631,35.0,31.194307,-3.8056927,0,0,,,0,-0.0
196,-6.6504703,0.27771536,7.0150485,36.0,31.586,-4.4139996,0,0,,,0,-0.0
197,-5.8770795,0.18977845,6.2785697,36.0,31.091692,-4.908308,0,0,,,0,-0.0
198,-5.877024,0.036750153,5.372958,36.0,31.292307,-4.707693,0,0,,,0,-0.0
199,-5.955522,-0.022549331,5.0763836,36.0,31.938768,-4.0612316,0,0,,,0,-0.0
200,-6.8913703,0.2541736,6.7380958,37.0,31.636923,-5.363077,0,0,,,0,-0.0
201,-7.0769553,0.21858138,6.908063,38.0,32.307693,-5.6923065,0,0,,,0,-0.0
202,-6.8422365,0.19470072,6.80046,38.0,32.997078,-5.002922,0,0,,,0,-0.0
203,-6.7389,0.26749095,6.847486,37.0,33.16923,-3.8307686,0,0,,,0,-0.0
204,-7.8901887,0.43739793,8.862879,37.0,35.471386,-1.528614,0,0,,,0,-0.0
205,-6.9557605,0.31798193,7.8675275,37.0,36.918156,-0.08184433,0,0,,,0,-0.0
206,-6.5207915,0.18133816,6.7388496,38.0,36.10123,-1.8987694,0,0,,,0,-0.0
