idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit
548,0.23662312,0.23662312,32.0,35.413498,3.413498,1,1,3.413498
549,0.23732822,0.23732822,33.0,32.90031,-0.09968948,1,1,-0.09968948
550,0.23929141,0.23929141,33.0,33.9624,0.9623985,1,1,0.9623985
551,0.2396286,0.2396286,33.0,33.505207,0.50520706,1,1,0.50520706
552,0.24005197,0.24005197,32.0,34.572163,2.5721626,1,1,2.5721626
553,0.2382042,0.2382042,34.0,34.124714,0.1247139,1,1,0.1247139
554,0.2362278,0.2362278,34.0,33.857975,-0.142025,1,1,-0.142025
555,0.23550276,0.23550276,34.0,33.399162,-0.6008377,1,1,-0.6008377
556,0.23669668,0.23669668,33.0,32.728256,-0.27174377,1,1,-0.27174377
557,0.23766153,0.23766153,34.0,33.106453,-0.89354706,1,1,-0.89354706
558,0.23817007,0.23817007,34.0,33.681103,-0.31889725,1,1,-0.31889725
559,0.23987968,0.23987968,34.0,33.180035,-0.81996536,1,1,-0.81996536
560,0.23979823,0.23979823,34.0,33.03161,-0.9683914,1,1,-0.9683914
561,0.23805697,0.23805697,33.0,32.580376,-0.41962433,1,1,-0.41962433
562,0.23664232,0.23664232,34.0,32.922184,-1.077816,1,1,-1.077816
563,0.23525642,0.23525642,34.0,33.409714,-0.59028625,1,1,-0.59028625
564,0.23469998,0.23469998,35.0,33.4758,-1.5242004,1,1,-1.5242004
565,0.23514532,0.23514532,36.0,32.8691,-3.1309013,1,1,-3.1309013
566,0.23498107,0.23498107,35.0,32.698463,-2.3015366,1,1,-2.3015366
567,0.23632313,0.23632313,36.0,33.87124,-2.1287613,1,1,-2.1287613
568,0.2357326,0.2357326,35.0,34.24826,-0.7517395,1,1,-0.7517395
569,0.23555295,0.23555295,36.0,34.67295,-1.3270493,1,1,-1.3270493
570,0.23473139,0.23473139,36.0,34.448147,-1.5518532,1,1,-1.5518532
571,0.23328845,0.23328845,35.0,34.337097,-0.66290283,1,1,-0.66290283
572,0.23285319,0.23285319,34.0,34.11392,0.113918304,1,1,0.113918304
573,0.2341523,0.2341523,35.0,33.464424,-1.5355759,1,1,-1.5355759
574,0.23371495,0.23371495,35.0,34.137753,-0.86224747,1,1,-0.86224747
575,0.23498367,0.23498367,35.0,33.89724,-1.1027603,1,1,-1.1027603
576,0.23419409,0.23419409,34.0,33.73473,-0.26527023,1,1,-0.26527023
577,0.23398717,0.23398717,34.0,33.142654,-0.8573456,1,1,-0.8573456
578,0.23280047,0.23280047,34.0,32.934643,-1.0653572,1,1,-1.0653572
579,0.2320493,0.2320493,32.0,32.23423,0.23423004,1,1,0.23423004
580,0.23189215,0.23189215,34.0,32.513744,-1.4862556,1,1,-1.4862556
581,0.23340921,0.23340921,35.0,31.676823,-3.3231773,1,1,-3.3231773
582,0.23330133,0.23330133,35.0,31.408142,-3.591858,1,1,-3.591858
583,0.2355734,0.2355734,35.0,30.701769,-4.298231,1,1,-4.298231
584,0.23436843,0.23436843,35.0,30.369167,-4.6308327,1,1,-4.6308327
585,0.23435627,0.23435627,35.0,28.631945,-6.3680553,1,1,-6.3680553
586,0.23305868,0.23305868,36.0,29.755424,-6.2445755,1,1,-6.2445755
587,0.23146714,0.23146714,36.0,29.756508,-6.243492,1,1,-6.243492
588,0.23083068,0.23083068,37.0,29.283606,-7.7163944,0,0,-0.0
589,0.23274298,0.23274298,36.0,30.59343,-5.4065704,1,1,-5.4065704
590,0.23274891,0.23274891,37.0,30.024105,-6.975895,1,1,-6.975895
591,0.2355419,0.2355419,37.0,29.076677,-7.9233227,1,1,-7.9233227
592,0.23390354,0.23390354,35.0,28.87625,-6.1237507,1,1,-6.1237507
593,0.23375387,0.23375387,36.0,28.446142,-7.553858,1,1,-7.553858
594,0.23224472,0.23224472,35.0,28.264673,-6.735327,1,1,-6.735327
595,0.23030533,0.23030533,36.0,28.813953,-7.1860466,0,0,-0.0
596,0.22991507,0.22991507,36.0,29.446066,-6.553934,0,0,-0.0
597,0.23159294,0.23159294,36.0,29.706804,-6.2931957,1,1,-6.2931957
598,0.23276328,0.23276328,36.0,29.882996,-6.1170044,1,1,-6.1170044
599,0.23297046,0.23297046,34.0,28.92786,-5.0721397,1,1,-5.0721397
600,0.23241277,0.23241277,34.0,29.283512,-4.716488,1,1,-4.716488
601,0.23025809,0.23025809,34.0,28.506472,-5.4935284,0,0,-0.0
602,0.23011433,0.23011433,35.0,28.258007,-6.741993,0,0,-0.0
603,0.23047908,0.23047908,35.0,27.47093,-7.52907,0,0,-0.0
604,0.22918166,0.22918166,34.0,28.995173,-5.0048275,0,0,-0.0
605,0.22850178,0.22850178,34.0,29.176348,-4.8236523,0,0,-0.0
606,0.22984038,0.22984038,33.0,29.456503,-3.543497,0,0,-0.0
607,0.22919981,0.22919981,33.0,29.408829,-3.5911713,0,0,-0.0
608,0.23034148,0.23034148,34.0,30.03764,-3.9623604,0,0,-0.0
609,0.2333511,0.2333511,33.0,29.752966,-3.247034,1,1,-3.247034
610,0.2310025,0.2310025,33.0,29.52856,-3.4714394,0,0,-0.0
611,0.22925891,0.22925891,33.0,29.608194,-3.3918056,0,0,-0.0
612,0.22675724,0.22675724,33.0,29.330318,-3.6696815,0,0,-0.0
613,0.22154044,0.22154044,33.0,28.484343,-4.5156574,0,0,-0.0
614,0.22592036,0.22592036,33.0,28.384186,-4.615814,0,0,-0.0
615,0.224663,0.224663,33.0,29.121765,-3.8782349,0,0,-0.0
616,0.22274177,0.22274177,32.0,29.643576,-2.3564243,0,0,-0.0
617,0.22087465,0.22087465,33.0,29.326408,-3.6735916,0,0,-0.0
618,0.2207502,0.2207502,34.0,28.766672,-5.233328,0,0,-0.0
619,0.22392808,0.22392808,34.0,28.445665,-5.5543346,0,0,-0.0
620,0.22154479,0.22154479,34.0,28.673018,-5.3269825,0,0,-0.0
621,0.22557692,0.22557692,34.0,28.16793,-5.8320694,0,0,-0.0
622,0.22190751,0.22190751,34.0,28.259647,-5.7403526,0,0,-0.0
623,0.22656782,0.22656782,33.0,27.885666,-5.114334,0,0,-0.0
624,0.22652255,0.22652255,33.0,26.555319,-6.444681,0,0,-0.0
625,0.22681014,0.22681014,33.0,27.402655,-5.5973454,0,0,-0.0
626,0.23004837,0.23004837,32.0,26.180317,-5.819683,0,0,-0.0
627,0.23492794,0.23492794,32.0,25.647625,-6.352375,1,1,-6.352375
628,0.2365428,0.2365428,31.0,24.881947,-6.1180534,1,1,-6.1180534
629,0.23620509,0.23620509,30.0,24.999113,-5.000887,1,1,-5.000887
630,0.23301439,0.23301439,31.0,26.362507,-4.637493,1,1,-4.637493
