date,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null,symbol
2020-01-01 00:00:00,7195.24,7196.25,7178.64,7179.78,95.509133,1577837099999.0,686317.13625177,1127.0,32.773245,235537.29504531,0.0,BTCUSDT
2020-01-01 00:05:00,7179.76,7191.77,7178.2,7191.07,59.365225,1577837399999.0,426481.26036406,631.0,24.766513,177935.618201,0.0,BTCUSDT
2020-01-01 00:10:00,7193.15,7193.53,7180.24,7180.97,48.06851,1577837699999.0,345446.50301879,694.0,19.422283,139596.62168263,0.0,BTCUSDT
2020-01-01 00:15:00,7180.97,7186.4,7177.35,7178.29,32.192929,1577837999999.0,231162.55542356,576.0,12.963258,93091.43327629,0.0,BTCUSDT
2020-01-01 00:20:00,7177.71,7182.46,7175.47,7176.96,49.027397,1577838299999.0,351927.89388145,710.0,22.819744,163817.88115474,0.0,BTCUSDT
2020-01-01 00:25:00,7177.59,7185.56,7176.11,7178.45,47.022328,1577838599999.0,337612.29777385,662.0,22.606108,162317.15701592,0.0,BTCUSDT
2020-01-01 00:30:00,7178.19,7185.44,7177.54,7180.68,35.10983,1577838899999.0,252130.90500262,635.0,19.139541,137447.70846574,0.0,BTCUSDT
2020-01-01 00:35:00,7180.96,7182.53,7176.23,7177.53,24.863496,1577839199999.0,178533.13638991,515.0,10.400679,74689.13949208,0.0,BTCUSDT
2020-01-01 00:40:00,7177.14,7182.45,7176.34,7179.56,23.514132,1577839499999.0,168815.11141275,430.0,14.282154,102530.47311368,0.0,BTCUSDT
2020-01-01 00:45:00,7179.35,7182.99,7179.35,7182.94,21.35885,1577839799999.0,153387.48781809,388.0,13.239753,95080.11545929,0.0,BTCUSDT
2020-01-01 00:50:00,7182.94,7183.98,7175.51,7179.03,42.910971,1577840099999.0,308092.13673214,739.0,20.422548,146652.86619733,0.0,BTCUSDT
2020-01-01 00:55:00,7178.65,7181.75,7175.46,7177.02,32.8721,1577840399999.0,235950.15541644,533.0,13.3173,95592.88054636,0.0,BTCUSDT
2020-01-01 01:00:00,7176.47,7185.86,7175.71,7183.29,30.163076,1577840699999.0,216611.56911648,596.0,13.607985,97723.5160686,0.0,BTCUSDT
2020-01-01 01:05:00,7183.55,7194.04,7182.82,7189.62,44.803327,1577840999999.0,322109.95174577,564.0,31.193218,224247.23205552,0.0,BTCUSDT
2020-01-01 01:10:00,7189.63,7194.04,7188.62,7190.86,28.554119,1577841299999.0,205367.58317887,428.0,11.450175,82359.75026194,0.0,BTCUSDT
2020-01-01 01:15:00,7190.46,7194.27,7189.23,7194.06,24.216078,1577841599999.0,174147.67835753,449.0,9.210245,66240.18705864,0.0,BTCUSDT
2020-01-01 01:20:00,7193.02,7198.0,7190.79,7192.39,34.107575,1577841899999.0,245382.36092326,546.0,15.498763,111511.59548775,0.0,BTCUSDT
2020-01-01 01:25:00,7193.01,7217.0,7191.98,7212.1,193.219399,1577842199999.0,1392268.35865829,1477.0,141.44239,1019053.48118736,0.0,BTCUSDT
2020-01-01 01:30:00,7212.1,7230.0,7211.32,7218.83,273.46807,1577842499999.0,1974637.04622372,1837.0,204.419503,1475997.47530984,0.0,BTCUSDT
2020-01-01 01:35:00,7219.11,7221.95,7210.53,7216.0,60.977766,1577842799999.0,440073.27302928,696.0,25.912918,187028.64162685,0.0,BTCUSDT
2020-01-01 01:40:00,7216.02,7219.11,7207.17,7211.87,52.801416,1577843099999.0,380871.0549271,670.0,27.731478,200051.89521924,0.0,BTCUSDT
2020-01-01 01:45:00,7212.34,7212.67,7205.01,7205.08,47.987055,1577843399999.0,345869.923018,583.0,22.702456,163640.51690998,0.0,BTCUSDT
2020-01-01 01:50:00,7205.08,7211.77,7204.28,7209.35,54.491792,1577843699999.0,392739.251019,668.0,43.092625,310591.99690708,0.0,BTCUSDT
2020-01-01 01:55:00,7209.75,7216.41,7207.39,7216.27,38.26293,1577843999999.0,275874.49091546,519.0,24.459663,176357.76159813,0.0,BTCUSDT
2020-01-01 02:00:00,7215.52,7223.37,7214.09,7217.25,62.727497,1577844299999.0,452754.08488518,809.0,34.324108,247754.4946424,0.0,BTCUSDT
2020-01-01 02:05:00,7217.21,7223.8,7214.27,7217.18,40.37927,1577844599999.0,291472.74386075,450.0,22.141853,159841.97734924,0.0,BTCUSDT
2020-01-01 02:10:00,7217.73,7219.03,7211.41,7211.97,30.653886,1577844899999.0,221159.98976269,440.0,11.447213,82588.05896068,0.0,BTCUSDT
2020-01-01 02:15:00,7212.87,7225.0,7212.15,7224.2,32.415222,1577845199999.0,234036.3096038,410.0,26.242265,189467.38539295,0.0,BTCUSDT
2020-01-01 02:20:00,7224.2,7230.0,7218.97,7229.32,36.710927,1577845499999.0,265247.94179368,540.0,15.180706,109691.04940257,0.0,BTCUSDT
2020-01-01 02:25:00,7229.5,7238.88,7224.91,7228.09,106.131355,1577845799999.0,767622.84737177,1031.0,45.929226,332190.77953536,0.0,BTCUSDT
2020-01-01 02:30:00,7227.12,7236.07,7226.79,7234.76,56.688336,1577846099999.0,409950.24832819,629.0,33.52172,242416.94296405,0.0,BTCUSDT
2020-01-01 02:35:00,7233.83,7235.83,7228.08,7232.21,73.99718,1577846399999.0,535146.9343372,660.0,41.722035,301706.93949934,0.0,BTCUSDT
2020-01-01 02:40:00,7232.75,7237.99,7229.65,7237.63,42.633819,1577846699999.0,308344.14964985,462.0,25.209895,182352.19988289,0.0,BTCUSDT
2020-01-01 02:45:00,7237.42,7237.81,7231.93,7236.13,38.429914,1577846999999.0,278030.89841814,517.0,17.192931,124376.96447313,0.0,BTCUSDT
2020-01-01 02:50:00,7237.21,7244.2,7232.2,7243.65,89.94917,1577847299999.0,651134.69258648,964.0,62.150633,449941.31467835,0.0,BTCUSDT
2020-01-01 02:55:00,7243.07,7244.87,7238.0,7242.85,44.440233,1577847599999.0,321818.54759365,554.0,22.117678,160185.7183068,0.0,BTCUSDT
2020-01-01 03:00:00,7242.66,7245.0,7230.25,7235.33,87.259123,1577847899999.0,631447.62459136,879.0,37.942024,274571.31474658,0.0,BTCUSDT
2020-01-01 03:05:00,7235.18,7235.66,7220.1,7224.98,108.385003,1577848199999.0,783396.65916757,817.0,32.880559,237655.73210438,0.0,BTCUSDT
2020-01-01 03:10:00,7224.98,7229.7,7223.43,7228.5,75.378899,1577848499999.0,544807.5491365,1115.0,58.982924,426315.39696847,0.0,BTCUSDT
2020-01-01 03:15:00,7227.43,7235.5,7227.19,7235.5,76.264249,1577848799999.0,551573.18631218,943.0,37.749267,273025.08551912,0.0,BTCUSDT
2020-01-01 03:20:00,7234.11,7237.41,7232.87,7235.87,33.335067,1577849099999.0,241201.10946398,441.0,18.960326,137194.64025894,0.0,BTCUSDT
2020-01-01 03:25:00,7235.53,7238.77,7231.23,7237.15,59.789927,1577849399999.0,432635.4042669,513.0,21.923535,158638.22394497,0.0,BTCUSDT
2020-01-01 03:30:00,7237.82,7244.33,7237.16,7243.77,60.0435,1577849699999.0,434749.07955829,730.0,39.238168,284107.15196442,0.0,BTCUSDT
2020-01-01 03:35:00,7242.4,7242.48,7226.0,7228.85,81.881714,1577849999999.0,592247.75679263,746.0,32.048259,231821.72249382,0.0,BTCUSDT
2020-01-01 03:40:00,7228.75,7231.99,7220.23,7221.27,61.273717,1577850299999.0,442872.8520779,687.0,19.550564,141333.464166,0.0,BTCUSDT
2020-01-01 03:45:00,7221.27,7227.89,7220.0,7227.5,38.46044,1577850599999.0,277860.78916774,457.0,22.09755,159653.74473906,0.0,BTCUSDT
2020-01-01 03:50:00,7228.18,7228.18,7223.21,7226.06,45.602554,1577850899999.0,329514.40238701,481.0,31.849995,230144.86529585,0.0,BTCUSDT
2020-01-01 03:55:00,7225.58,7230.78,7223.61,7225.01,56.050674,1577851199999.0,405060.88008397,528.0,41.58764,300526.01308976,0.0,BTCUSDT
2020-01-01 04:00:00,7225.0,7229.72,7223.93,7228.58,64.682238,1577851499999.0,467474.8003961,951.0,41.813752,302211.15876344,0.0,BTCUSDT
2020-01-01 04:05:00,7228.09,7229.88,7224.61,7228.14,36.798454,1577851799999.0,265966.2144469,550.0,26.002067,187939.28832884,0.0,BTCUSDT
2020-01-01 04:10:00,7228.31,7228.32,7217.81,7219.09,51.086989,1577852099999.0,368931.80202095,484.0,12.113086,87490.58963907,0.0,BTCUSDT
2020-01-01 04:15:00,7218.61,7223.0,7216.42,7220.77,75.558678,1577852399999.0,545570.9607256,727.0,37.687408,272118.59583915,0.0,BTCUSDT
2020-01-01 04:20:00,7221.89,7222.68,7215.03,7219.49,35.802333,1577852699999.0,258480.4620736,412.0,18.060213,130391.08966751,0.0,BTCUSDT
